NAME                                           VERSION                TYPE           
Hidden Input                                   1, 0, 0, 0             dotnet          
alek13/slack                                   2.2.1                  php-composer    
alpine-baselayout                              3.4.0-r0               apk             
alpine-baselayout-data                         3.4.0-r0               apk             
alpine-keys                                    2.4-r1                 apk             
alpine-release                                 3.17.7-r0              apk             
aom-libs                                       3.5.0-r0               apk             
apache2-utils                                  2.4.58-r0              apk             
apk-tools                                      2.12.10-r1             apk             
apr                                            1.7.2-r0               apk             
apr-util                                       1.6.3-r0               apk             
argon2-libs                                    20190702-r2            apk             
arietimmerman/laravel-scim-server              dev-master             php-composer    
asm89/stack-cors                               v2.1.1                 php-composer    
aws/aws-crt-php                                v1.2.4                 php-composer    
aws/aws-sdk-php                                3.295.4                php-composer    
bacon/bacon-qr-code                            2.0.7                  php-composer    
barryvdh/laravel-debugbar                      v3.7.0                 php-composer    
barryvdh/laravel-dompdf                        v2.0.0                 php-composer    
bash                                           5.2.15-r0              apk             
brick/math                                     0.9.3                  php-composer    
brotli-libs                                    1.0.9-r9               apk             
busybox                                        1.35.0-r29             apk             
busybox-binsh                                  1.35.0-r29             apk             
ca-certificates                                20240226-r0            apk             
ca-certificates-bundle                         20240226-r0            apk             
coreutils                                      9.1-r0                 apk             
curl                                           8.5.0-r0               apk             
dasprid/enum                                   1.0.3                  php-composer    
defuse/php-encryption                          v2.3.1                 php-composer    
dflydev/dot-access-data                        v3.0.1                 php-composer    
doctrine/annotations                           1.13.3                 php-composer    
doctrine/cache                                 1.13.0                 php-composer    
doctrine/collections                           1.6.8                  php-composer    
doctrine/common                                2.13.3                 php-composer    
doctrine/dbal                                  3.3.7                  php-composer    
doctrine/deprecations                          v1.0.0                 php-composer    
doctrine/event-manager                         1.1.1                  php-composer    
doctrine/inflector                             1.4.4                  php-composer    
doctrine/instantiator                          1.4.1                  php-composer    
doctrine/lexer                                 1.2.3                  php-composer    
doctrine/persistence                           1.3.8                  php-composer    
doctrine/reflection                            1.2.3                  php-composer    
dompdf/dompdf                                  v2.0.4                 php-composer    
dragonmantank/cron-expression                  v3.3.1                 php-composer    
eduardokum/laravel-mail-auto-embed             1.0.7                  php-composer    
egulias/email-validator                        2.1.25                 php-composer    
enshrined/svg-sanitize                         0.15.4                 php-composer    
erusev/parsedown                               1.7.4                  php-composer    
ezyang/htmlpurifier                            v4.14.0                php-composer    
facade/flare-client-php                        1.9.1                  php-composer    
facade/ignition                                2.17.6                 php-composer    
facade/ignition-contracts                      1.0.2                  php-composer    
fideloper/proxy                                4.4.2                  php-composer    
filp/whoops                                    2.14.5                 php-composer    
firebase/php-jwt                               v6.3.0                 php-composer    
freetype                                       2.12.1-r0              apk             
fruitcake/laravel-cors                         v2.2.0                 php-composer    
gdbm                                           1.23-r0                apk             
git                                            2.38.5-r0              apk             
graham-campbell/result-type                    v1.0.4                 php-composer    
guzzlehttp/guzzle                              7.8.1                  php-composer    
guzzlehttp/promises                            2.0.2                  php-composer    
guzzlehttp/psr7                                2.6.2                  php-composer    
intervention/image                             2.7.2                  php-composer    
javiereguiluz/easyslugger                      v1.0.0                 php-composer    
jq                                             1.6-r2                 apk             
laravel-notification-channels/google-chat      v1.0.1                 php-composer    
laravel-notification-channels/microsoft-teams  v1.1.4                 php-composer    
laravel/framework                              v8.83.22               php-composer    
laravel/helpers                                v1.5.0                 php-composer    
laravel/passport                               v10.4.1                php-composer    
laravel/serializable-closure                   v1.2.0                 php-composer    
laravel/slack-notification-channel             v2.4.0                 php-composer    
laravel/socialite                              v5.6.1                 php-composer    
laravel/tinker                                 v2.7.2                 php-composer    
laravel/ui                                     v3.4.6                 php-composer    
laravelcollective/html                         v6.3.0                 php-composer    
lcobucci/clock                                 2.0.0                  php-composer    
lcobucci/jwt                                   4.1.5                  php-composer    
league/commonmark                              2.3.4                  php-composer    
league/config                                  v1.1.1                 php-composer    
league/csv                                     9.8.0                  php-composer    
league/event                                   2.2.0                  php-composer    
league/flysystem                               1.1.9                  php-composer    
league/flysystem-aws-s3-v3                     1.0.30                 php-composer    
league/flysystem-cached-adapter                1.1.0                  php-composer    
league/mime-type-detection                     1.11.0                 php-composer    
league/oauth1-client                           v1.10.1                php-composer    
league/oauth2-server                           8.4.2                  php-composer    
league/uri                                     6.7.1                  php-composer    
league/uri-interfaces                          2.3.0                  php-composer    
libacl                                         2.3.1-r1               apk             
libattr                                        2.5.1-r2               apk             
libavif                                        0.11.1-r0              apk             
libbsd                                         0.11.7-r0              apk             
libbz2                                         1.0.8-r4               apk             
libc-utils                                     0.7.2-r3               apk             
libcrypto3                                     3.0.12-r4              apk             
libcurl                                        8.5.0-r0               apk             
libdav1d                                       1.0.0-r2               apk             
libedit                                        20221030.3.1-r0        apk             
libexpat                                       2.6.2-r0               apk             
libgcc                                         12.2.1_git20220924-r4  apk             
libice                                         1.0.10-r1              apk             
libintl                                        0.21.1-r1              apk             
libjpeg-turbo                                  2.1.4-r0               apk             
libldap                                        2.6.3-r6               apk             
libmd                                          1.0.4-r0               apk             
libpng                                         1.6.39-r0              apk             
libproc                                        3.3.17-r3              apk             
libsasl                                        2.1.28-r3              apk             
libsm                                          1.2.3-r1               apk             
libsodium                                      1.0.18-r2              apk             
libssl3                                        3.0.12-r4              apk             
libstdc++                                      12.2.1_git20220924-r4  apk             
libuuid                                        2.38.1-r1              apk             
libwebp                                        1.2.4-r3               apk             
libx11                                         1.8.7-r0               apk             
libxau                                         1.0.10-r0              apk             
libxcb                                         1.15-r0                apk             
libxdmcp                                       1.1.4-r0               apk             
libxext                                        1.3.5-r0               apk             
libxml2                                        2.10.4-r0              apk             
libxpm                                         3.5.15-r0              apk             
libxt                                          1.2.1-r0               apk             
libzip                                         1.9.2-r2               apk             
linux-pam                                      1.5.2-r1               apk             
livewire/livewire                              v2.10.6                php-composer    
logrotate                                      3.20.1-r3              apk             
lz4-libs                                       1.9.4-r1               apk             
maatwebsite/excel                              3.1.40                 php-composer    
maennchen/zipstream-php                        2.2.1                  php-composer    
mariadb-client                                 10.6.16-r0             apk             
mariadb-common                                 10.6.16-r0             apk             
markbaker/complex                              3.0.1                  php-composer    
markbaker/matrix                               3.0.0                  php-composer    
masterminds/html5                              2.8.1                  php-composer    
maximebf/debugbar                              v1.18.0                php-composer    
mediconesystems/livewire-datatables            v0.5.4                 php-composer    
monolog/monolog                                2.7.0                  php-composer    
mtdowling/jmespath.php                         2.7.0                  php-composer    
musl                                           1.2.3-r5               apk             
musl-utils                                     1.2.3-r5               apk             
myclabs/php-enum                               1.8.3                  php-composer    
nano                                           7.0-r0                 apk             
ncurses-libs                                   6.3_p20221119-r1       apk             
ncurses-terminfo-base                          6.3_p20221119-r1       apk             
neitanod/forceutf8                             v2.0.4                 php-composer    
nesbot/carbon                                  2.59.1                 php-composer    
netcat-openbsd                                 1.130-r4               apk             
nette/schema                                   v1.2.2                 php-composer    
nette/utils                                    v3.2.7                 php-composer    
nghttp2-libs                                   1.51.0-r2              apk             
nginx                                          1.22.1-r1              apk             
nikic/php-parser                               v4.14.0                php-composer    
nunomaduro/collision                           v5.11.0                php-composer    
nyholm/psr7                                    1.6.1                  php-composer    
onelogin/php-saml                              3.6.1                  php-composer    
